date,daily,index
2020-02-19,0.4705785797802114,S&P500
2020-02-20,-0.381551980093055,S&P500
2020-02-21,-1.0518102889622742,S&P500
2020-02-24,-3.3513626544828097,S&P500
2020-02-25,-3.027999567249954,S&P500
2020-02-26,-0.37785404903644804,S&P500
2020-02-27,-4.41632426382664,S&P500
2020-02-28,-0.8238340422731799,S&P500
2020-03-02,4.603922874232038,S&P500
2020-03-03,-2.810789603432691,S&P500
2020-03-04,4.220259077712599,S&P500
2020-03-05,-3.392207711880593,S&P500
2020-03-06,-1.7053851930321835,S&P500
2020-03-09,-7.596969728248686,S&P500
2020-03-10,4.939630595567477,S&P500
2020-03-11,-4.886844491153339,S&P500
2020-03-12,-9.511268088633598,S&P500
2020-03-13,9.28712497328204,S&P500
2020-03-16,-11.98405524869565,S&P500
